REGION TYPE	REGION	YEAR	WEEK	TOTAL SPECIMENS	PERCENT POSITIVE	A (H1)	A (Unable to Subtype)	A (H3)	2009 H1N1	A (Subtyping not Performed)	B	H3N2v
National	X	2011	40	3192	1.0338345865	0	0	14	3	7	9	0
National	X	2011	41	3316	0.5729794934	0	0	9	0	2	8	0
National	X	2011	42	3425	0.8175182482	0	0	10	2	8	8	0
National	X	2011	43	3749	1.1736463057	0	0	12	0	20	12	0
National	X	2011	44	4075	0.9570552147	0	0	17	1	12	9	0
National	X	2011	45	4326	1.1326860841	0	0	15	2	17	15	0
National	X	2011	46	4580	0.96069869	0	0	15	0	17	12	0
National	X	2011	47	4108	1.8257059396	0	0	23	3	30	19	0
National	X	2011	48	4669	1.5420860998	0	0	32	2	21	17	0
National	X	2011	49	4710	2.2929936306	0	0	38	5	45	20	0
National	X	2011	50	4906	2.7109661639	0	0	78	4	31	20	0
National	X	2011	51	5151	3.8245000971	0	0	104	7	62	24	0
National	X	2011	52	5470	3.3272394881	0	0	107	4	53	18	0
National	X	2012	1	5690	3.216168717	0	0	101	16	44	22	0
National	X	2012	2	5341	4.3999251077	0	0	142	31	47	15	0
National	X	2012	3	5364	5.9656972409	0	0	195	50	57	18	0
National	X	2012	4	5840	8.0993150685	0	0	257	84	100	32	0
National	X	2012	5	6251	10.8782594785	0	0	365	128	144	43	0
National	X	2012	6	6413	12.6150007797	0	0	419	167	167	56	0
National	X	2012	7	7298	14.8396821047	0	0	508	233	271	71	0
National	X	2012	8	7596	18.9968404423	0	0	690	319	356	78	0
National	X	2012	9	8485	23.818503241	0	0	988	488	433	112	0
National	X	2012	10	8459	28.1830003547	0	0	1232	538	491	123	0
National	X	2012	11	8822	30.7186579007	0	0	1396	599	516	199	0
National	X	2012	12	7974	27.5269626285	0	0	1086	445	427	237	0
National	X	2012	13	7450	21.5570469799	0	0	719	311	332	244	0
National	X	2012	14	6695	22.0761762509	0	0	629	266	308	275	0
National	X	2012	15	6304	20.4473350254	0	0	591	188	212	298	0
National	X	2012	16	5689	20.636315697	0	0	540	119	201	314	0
National	X	2012	17	4980	17.2690763052	0	0	361	74	151	274	0
National	X	2012	18	4522	15.9885006634	0	0	299	53	119	252	0
National	X	2012	19	4061	15.1686776656	0	0	229	33	88	266	0
National	X	2012	20	3811	13.3298346891	0	0	162	23	69	254	0
National	X	2012	21	3729	11.1558058461	0	0	76	11	69	260	0
National	X	2012	22	3347	10.9052883179	0	0	78	3	56	228	0
National	X	2012	23	3055	9.5908346972	0	0	45	7	44	197	0
National	X	2012	24	2898	9.972394755	0	0	52	2	56	179	0
National	X	2012	25	2529	6.7615658363	0	0	36	2	30	103	0
National	X	2012	26	2255	6.7405764967	0	0	17	0	22	113	0
National	X	2012	27	1970	4.7208121827	0	0	15	1	18	59	0
National	X	2012	28	2052	4.5808966862	0	0	33	4	15	41	1
National	X	2012	29	2100	3.6666666667	0	0	18	0	11	48	0
National	X	2012	30	2048	5.126953125	0	0	49	2	13	32	9
National	X	2012	31	2161	9.4863489125	0	0	65	1	11	33	95
National	X	2012	32	2294	7.5414123801	0	0	62	1	12	25	73
National	X	2012	33	2501	6.7173130748	0	0	69	6	14	27	52
National	X	2012	34	2705	4.1774491682	0	0	48	6	21	23	15
National	X	2012	35	2746	3.0589949017	0	0	37	1	15	19	12
National	X	2012	36	2914	3.0542210021	0	0	34	1	17	32	5
National	X	2012	37	3280	2.2256097561	0	0	16	0	11	44	2
National	X	2012	38	3501	3.0848329049	0	0	43	5	18	42	0
National	X	2012	39	3649	3.5900246643	0	0	42	7	18	64	0
National	X	2012	40	4345	3.7054085155	0	0	68	5	10	78	0
National	X	2012	41	4711	4.1180216515	0	0	67	7	25	95	0
National	X	2012	42	5011	5.9469167831	0	0	126	4	47	121	0
National	X	2012	43	4913	6.9000610625	0	0	148	3	49	139	0
National	X	2012	44	5155	7.953443259	0	0	182	4	73	151	0
National	X	2012	45	6130	10.0326264274	0	0	265	5	114	231	0
National	X	2012	46	6364	13.3249528598	0	0	366	8	210	262	2
National	X	2012	47	7114	19.1453472027	0	0	587	7	407	361	0
National	X	2012	48	8887	22.8873635648	0	0	989	18	532	495	0
National	X	2012	49	11472	29.8552998605	0	0	1735	38	978	674	0
National	X	2012	50	13885	33.0428519986	0	0	2574	50	1141	823	0
National	X	2012	51	15765	37.8686964795	0	0	3537	54	1274	1105	0
National	X	2012	52	17022	38.4326166138	0	0	3751	81	1544	1166	0
National	X	2013	1	18396	35.4207436399	0	0	3652	88	1669	1107	0
National	X	2013	2	20381	34.2573965949	0	0	3900	110	1807	1165	0
National	X	2013	3	19570	30.6540623403	0	0	3135	116	1654	1094	0
National	X	2013	4	17501	29.7982972402	0	0	2395	130	1558	1132	0
National	X	2013	5	15146	26.6472996171	0	0	1864	121	963	1088	0
